Timestamp,Country,Age,How did you know about the podcast?,Number artworks,Time when you listened to the podcast,How much didi you enjoy the podcast?,Interest before,Knowledge before,Interest after,Knowledge after,What did you learn today?,Did you look more into black holes?,"If yes, how?",Effect on how you see astronomers and astronomy?,How much did you like it?,Would you participate again?,Inspiration for mixing arts and science,"Recibimos muchas obras donde se representaba la ""espaguetización"",  el efecto ""de estiramiento"" debido a la fuerte gravedad cerca de un agujero negro. Nos preguntábamos cuál de las sientes opciones piensas que es la más correcta: ""La Humanidad...","Acá te dejo un espacio para que me cuentes lo que quieras  sobre el podcast, las preguntas que te quedaron por responder, cualquier cosa que quieras relacionado con esta experiencia de mezclar arte y ciencia. También te agradecería consejos, o si tenés ideas de que otras cosas te gustaría hacer, etc. TODO me ayuda. MIL GRACIAS"
15/10/2020 22:50:40,Argentina,45,Diego se contactó con vos en Facebook,1,despues de hacer la obra,5,5,3,5,3,💫,No,,No,5,5,5,,
15/10/2020 23:17:56,Panamá,27,Diego se contactó con vos  en Instagram,1,despues de hacer la obra,5,3,3,4,4,"me gusto mucho la parte donde explicaban las distancias a la que tendrían que estar ciertos objetos para ser atraídos por los agujeros, cuanta presión habría que ejercer en ciertos objetos para convertirlos en agujeros. la verdad me gusto mucho ",Sí,"me parece tan espectacular la inmensidad de lo estudian, pienso y debato conmigo mismo sobre lo genial que hay que ser para poder explicar cosas tan inexplicables y no solo eso; cosas que ni siquiera pensábamos que podían existir. 
y a veces me pongo a investigar o ver para aprender un poco mas sobre el tema.",Sí,3,5,4,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.","La verdad me gusto mucho el podcast pues aprendí cosas que no las tenia tan claras y efectivamente me hizo pensar mucho mas en el como.... 
a raíz del concurso me han surgido varias ideas para combinar la fotografía y edición.
Pienso que la presentación de las obras se pudieron presentar de una manera mas personalizada.
y un poco mas de interacción.

saludos 
Andres Lauz "
15/10/2020 23:25:52,Mexico,32,Propaganda en Facebook,1,nunca,2,5,3,4,4,Revise la pagina y busque informacion sobre el tema e imagenes.,Sí,Me parece que es un tema muy interesante los agujeros negros y que se le debe dar mas difusion al tema,Sí,5,5,4,"todavía no pudo visitar agujeros negros,  y con la tecnología actual, nos llevaría meses llegar, pero llegaríamos.",
15/10/2020 23:34:46,México,25,Propaganda en Facebook,3,Antes de hacer la obra,3,4,2,4,2,Que uno no puede llegar a un agujero negro que tardaría mucho tiempo en años luz  para llegar ahí.,Sí,"Me he dado cuenta que me gusta más la ciencia de lo que pensaba y que tiene mas cosas en común con el arte , en realidad  me he confundido mas sobre como son los agujeros negros con el podcast pues tengo mas dudas  pero lo mas importante es que  ha despertado en mi curiosidad sobre la astronomía y los descubrimientos acerca de ello.
",Sí,3,5,4,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.","Ojalá puedan mezclar la astronomía  mas allá las expresiones y dinámicas en redes sociales también desde  punto de vista didáctico que nos ayude a entender como funcionan los fenómenos del universo
No entendí del todo los agujeros negros, me  gustaría saber de algunas fuentes que se pueda saber de ellos con un lenguaje claro pues he investigado al respecto pero me cuesta trabajo saber que es lo que quieren decir por el uso de tecnicismos. "
16/10/2020 00:25:47,Bolivia,34,Diego se contactó con vos  en Instagram,1,despues de hacer la obra,5,5,1,5,3,Despertó nuevamente mi interés en la astronomía después de mucho tiempo. ,Sí,Siento que el conocimiento se adquiere de una forma diferente en la actualidad. La democratización del saber atraves de internet ha llevado a que el interés de muchas personas de contextos diferentes tengas acceso a este saber. ,Sí,5,5,5,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.",Muchísimas gracias!
16/10/2020 00:29:24,Ecuador,32,Propaganda en Facebook,2,Antes de hacer la obra,4,4,2,5,3,Los agujeros negros se encuentran a millones de años luz de la Tierra,Sí,La relación entre Arte y Ciencia de una manera divertida al plantearse un reto para crear una imagen sobre el tema planteado,Sí,4,5,5,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.","Los agujeros negros poseen la mayor cantidad de energía en el Universo y en algún momento de la historia de la Humanidad se logrará aprovechar dicha energía.
Una idea sería:
Organizar en cada país con los participantes o la entidad a cargo ( Embajada por ejemplo) una muestra para así se visibilicen los trabajos elaborados, así su disfunción llegaría a más personas.
De pronto, las categorías tengan un determinado formato ya sea en técnicas o materiales. Sin dejar de lado la opción libre en todos los aspectos.
Por último, la información de las bases debería estar disponible en varios sitios y el acceso a ellas que sea lo más amigable con los participantes. Por cierto no quedaría mal unos premios a los ganadores y un certificado avalado por la Universidad a  los participantes. Muchas gracias por la iniciativa."
16/10/2020 00:41:18,México,15,Propaganda en Facebook,4,Antes de hacer la obra,5,5,4,5,5,"Aprendí, sobre las dimensiones del los agujeros negros, así como su composición, como se crea, cuál es el proceso que pasa, y sobre todo tuve como una experiencia en primera persona ya que al estar escuchando el post cast, me transmitía todo lo que decían ",Sí,"Me abrió una gran intriga de saber el porqué, preguntas que hacen que investigue más y más cada día, y así poder comprender todo lo que está en nuestro universo",Sí,5,5,5,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.","Me encantó, el podcast ya que me inspiró a hacer más obras para reflejar cuanto admiro lo que es parte de mi vida en este mundo, y me hace reflexionar cuál pequeños somos. Me intriga mucho el hecho que tenemos que saber más sobre lo que nos rodea, desde su comprensión hasta su formación, es un hecho que gracias a este concurso, que para mí inició en una publicación en facebook pero para mí vida futura inicio en oro, GRACIAS POR DEJARME PARTICIPAR :) los admiro  "
16/10/2020 02:55:45,Mexico ,51,Propaganda en Facebook,,mientras que hacia la obra,5,5,3,5,5,"
Hay tantas cosas por descubrir aún ",Sí,"Erriquese mis ideas lo hacen de manera sencilla algo que es complicado para los que dan parte se su vida al estudio de la observación,  todos los cambios y evolución de los agujeros negros. ",Sí,5,5,5,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.","Es muy interesante aprender cosas nuevas como rayos de fotones gas caliente interactivo en espiral, nubes  de electrones Coronas, como el agujero negro interactiva con gas, depende del gas = transformadas de furiad, como es de grande el agujero negro, Maxi las coordenadas altitud y longitud, coordenadas Naiser, NASA telescopio, deformando el espacio el agujero negro deforma / el disco no está alineado se moverá como un tropo, rotando el disco alineandolo, 3 x cabeceo x segundo el espacio, hay ecos dentro del agujero negro, se miden distancias luz radiación dispara en varias direcciones como un espejo, nuve de electrones se achacaba y se disuelve los ecos miden la nube de electrones 47 minutos giro gas caliente, agujero negro, estrella  activos y otros hasta 5 años o 2o3 veces x década, estrellas compañeras Masa, radio y gravedad agujero negro espagetizacion te estira esfera de fotones, muy interesante la fusión como masa, radio y gravedad, ciencia arte y creatividad, me parece formidable y aunque metí 9 obras solo seleccionaron 3 Ecos, agujero negro sobre fondo negro y Trompo discoidal me siento muy agradecido te felicito Dr Diego  Altamirano por lo innovador sencillo y tu enorme conocimiento."
16/10/2020 04:39:36,México,26,Propaganda en Facebook,1,Antes de hacer la obra,5,5,4,5,5,"La mayoría de las cosas ya lo había escuchado, pero siempre me gusta volver a escuchar todos esos datos. Pero también supe cosas nuevas, principalmente el camino que recorre la luz alrededor del agujero negro, y la posibilidad de poder verte la espalda, ya que la luz daría vuelta y llegaría a tus ojo, eso me sorprendió mucho.",Sí,"Siempre he sido una persona curiosa en el tema de la astronomía, y siempre me ha hecho ver el universo de formas diferentes cada que aprendo algo nuevo, este podcast me hizo ser aún más curioso, y ver que las historias de comics, leyendas etc no se acercan a lo que ofrece el universo y todo lo que contiene, son fuerzas y efectos sin igual.",Sí,5,5,5,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.","Creo que uno de los temas que más dudas tengo, y que tiene relación con los agujeros negros, son los Cuásares, no logro entender como se producen y como se libera toda esa energía escapando del horizonte de un agujero negro, no recuerdo que tocaran ese tema y me gustaría escuchar un podcast sobre eso.
Y trabajar para lograr en una animación de como se vería un agujero negro y sus efectos fue un reto para mí, me ayudó a conocer muchas cosas que podría hacer en una animación."
16/10/2020 08:47:22,mexico,20,Diego se contactó con vos  en Instagram,3,mientras que hacia la obra,5,5,3,5,5,,Sí,,Sí,5,5,5,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.",
